"ACS Year","Community Area","Under $25,000","$25,000 to $49,999","$50,000 to $74,999","$75,000 to $125,000","$125,000 +","Male 0 to 17","Male 18 to 24","Male 25 to 34","Male 35 to 49","Male 50 to 64","Male 65+","Female 0 to 17","Female 18 to 24","Female 25 to 34","Female 35 to 49","Female 50 to 64","Female 65 +","Total Population","White","Black or African American","American Indian or Alaska Native","Asian","Native Hawaiian or Pacific Islander","Other Race","Multiracial","White Not Hispanic or Latino","Hispanic or Latino","Record ID"
"2023","ALBANY PARK","1,269","1,916","1,801","2,306","3,379","4,799","2,955","4,513","5,442","4,354","2,287","4,913","2,405","4,116","5,228","3,764","3,054","47,830","21,496","2,228","759","7,124","1","7,888","8,334","16,115","21,108","2023_ALBANY PARK"
"2023","ARCHER HEIGHTS","223","752","441","795","739","1,927","732","1,102","1,240","1,417","1,035","1,502","899","978","1,167","854","1,021","13,875","6,232","10","108","679","0","3,705","3,142","2,043","11,097","2023_ARCHER HEIGHTS"
"2023","ARMOUR SQUARE","701","798","370","637","597","1,300","487","871","1,174","1,177","1,032","1,022","517","965","1,163","1,378","2,063","13,149","2,556","1,487","107","8,402","61","212","325","2,226","565","2023_ARMOUR SQUARE"
"2023","ASHBURN","797","1,351","1,985","3,014","2,735","5,150","1,964","2,881","4,178","4,228","2,473","5,138","2,248","2,774","4,582","4,044","3,184","42,842","11,297","18,124","697","436","0","7,772","4,517","3,774","19,917","2023_ASHBURN"
"2023","AUBURN GRESHAM","2,541","2,451","1,592","2,202","1,850","5,803","1,836","2,964","3,431","3,469","3,223","5,305","2,304","3,057","4,522","5,213","5,357","46,483","760","43,414","119","399","0","993","798","491","1,577","2023_AUBURN GRESHAM"
"2023","AUSTIN","5,506","5,084","3,600","4,047","3,725","12,399","4,668","6,681","9,920","8,110","6,175","12,163","4,575","6,643","10,092","10,040","8,811","100,278","10,447","73,602","531","678","21","8,512","6,487","5,386","19,591","2023_AUSTIN"
"2023","AVALON PARK","420","489","356","518","630","1,216","256","362","781","747","664","714","450","509","1,087","965","1,741","9,492","27","8,924","0","65","0","265","211","27","48","2023_AVALON PARK"
"2023","AVONDALE","689","1,191","1,106","1,726","3,059","2,666","1,811","4,559","4,354","3,117","1,272","3,768","1,755","4,664","3,753","2,913","1,718","36,350","19,289","927","263","1,750","15","7,809","6,297","13,718","18,606","2023_AVONDALE"
"2023","BELMONT CRAGIN","1,585","3,843","3,031","4,588","3,299","9,084","3,962","5,195","8,427","6,668","3,396","9,697","3,604","4,798","7,358","6,445","5,352","73,988","27,909","3,370","993","1,939","23","25,743","14,011","10,782","57,511","2023_BELMONT CRAGIN"
"2023","BEVERLY","160","294","355","1,074","3,255","2,069","856","863","1,776","2,112","1,795","2,206","730","1,027","1,667","2,627","2,082","19,811","11,330","6,671","9","176","23","276","1,327","10,974","1,389","2023_BEVERLY"
"2023","BRIDGEPORT","1,123","1,450","1,043","1,634","2,572","3,048","1,222","3,580","3,650","2,982","2,560","2,606","1,231","3,327","3,241","2,969","2,594","33,012","13,410","991","152","13,234","0","2,751","2,475","11,334","6,879","2023_BRIDGEPORT"
"2023","BRIGHTON PARK","1,685","2,564","1,889","2,138","1,531","5,354","2,207","4,308","3,517","4,085","2,317","5,398","2,564","3,232","3,802","3,452","2,125","42,360","14,018","937","850","4,391","128","14,067","7,969","3,193","33,785","2023_BRIGHTON PARK"
"2023","BURNSIDE","31","104","73","96","136","262","82","20","182","148","210","189","63","126","292","323","333","2,229","40","2,007","0","0","0","0","183","40","108","2023_BURNSIDE"
"2023","CALUMET HEIGHTS","353","308","431","906","903","930","221","783","661","1,057","1,133","1,232","541","707","1,056","1,477","2,279","12,078","130","11,470","19","17","0","158","284","28","498","2023_CALUMET HEIGHTS"
"2023","CHATHAM","1,530","1,427","940","1,291","1,356","3,149","1,317","2,269","1,889","3,182","1,955","2,565","1,774","2,398","3,096","3,965","3,881","31,440","414","29,714","69","111","0","276","855","336","783","2023_CHATHAM"
"2023","CHICAGO LAWN","2,242","2,901","2,615","2,352","1,408","6,370","3,202","3,678","5,317","3,471","3,416","6,727","3,025","4,383","4,672","4,160","3,824","52,245","10,788","19,658","806","272","0","12,657","8,064","1,143","30,407","2023_CHICAGO LAWN"
"2023","CLEARING","359","997","1,002","1,677","1,913","3,350","1,088","1,920","3,146","1,993","1,381","2,561","900","1,817","2,472","2,236","1,847","24,710","13,917","486","479","178","37","4,913","4,701","8,932","14,872","2023_CLEARING"
"2023","DOUGLAS","689","571","526","431","737","1,630","1,654","1,445","1,400","1,276","1,149","1,464","1,511","1,994","1,463","1,626","2,017","18,629","2,278","12,400","214","2,006","0","797","936","2,042","1,416","2023_DOUGLAS"
"2023","DUNNING","761","1,136","1,714","3,223","4,246","4,181","1,634","2,430","4,527","5,135","2,831","4,077","1,902","2,693","4,013","4,902","4,222","42,548","28,488","1,273","225","2,450","4","5,328","4,779","23,593","14,613","2023_DUNNING"
"2023","EAST GARFIELD PARK","1,416","1,114","462","767","436","2,588","872","1,525","1,599","1,499","796","2,730","1,264","1,378","2,624","1,669","1,312","19,855","1,537","16,911","47","35","13","494","818","1,130","1,535","2023_EAST GARFIELD PARK"
"2023","EAST SIDE","712","1,248","1,214","1,450","988","2,988","1,376","1,539","2,518","2,232","1,010","3,668","1,311","1,359","2,324","1,833","1,473","23,629","10,892","365","597","146","0","7,703","3,927","2,651","20,479","2023_EAST SIDE"
"2023","EDGEWATER","736","1,082","909","1,984","3,751","2,835","2,070","5,429","6,256","4,618","3,208","2,770","2,761","5,238","4,632","3,545","4,121","47,484","28,646","5,684","87","5,724","90","1,724","5,529","25,939","7,756","2023_EDGEWATER"
"2023","EDISON PARK","123","183","109","677","1,846","1,248","301","624","1,045","1,437","808","1,292","331","1,141","1,063","1,256","854","11,398","9,914","50","0","178","0","517","739","9,162","1,673","2023_EDISON PARK"
"2023","ENGLEWOOD","1,501","1,264","754","705","321","2,835","934","1,402","1,506","2,045","1,418","2,400","1,018","1,813","1,662","2,454","1,851","21,337","619","19,500","20","167","0","515","516","276","1,114","2023_ENGLEWOOD"
"2023","FOREST GLEN","162","349","343","953","3,439","2,749","504","925","2,140","1,833","1,628","2,234","455","954","2,392","1,990","1,959","19,763","15,419","193","0","2,190","0","725","1,236","14,528","2,133","2023_FOREST GLEN"
"2023","FULLER PARK","186","113","36","61","34","225","149","75","87","134","365","212","86","110","194","269","280","2,186","148","1,850","7","7","0","22","151","86","232","2023_FULLER PARK"
"2023","GAGE PARK","1,007","2,038","1,582","1,619","1,240","4,256","2,089","2,910","3,105","2,809","2,007","4,786","2,159","2,167","3,549","2,489","2,325","34,650","13,619","1,403","536","264","1","13,063","5,764","995","31,985","2023_GAGE PARK"
"2023","GARFIELD RIDGE","421","1,324","1,220","2,378","3,565","4,492","1,324","2,255","3,930","3,987","2,545","3,856","978","2,459","3,515","3,464","3,459","36,265","21,939","1,183","502","595","40","6,073","5,932","13,879","20,235","2023_GARFIELD RIDGE"
"2023","GRAND BOULEVARD","913","944","651","1,406","1,292","2,160","807","2,105","1,857","2,299","1,347","2,902","1,080","2,370","2,930","2,586","2,365","24,808","1,339","21,947","38","204","24","241","1,015","1,296","809","2023_GRAND BOULEVARD"
"2023","GREATER GRAND CROSSING","1,853","1,764","1,121","1,172","747","3,356","1,108","1,553","2,280","2,627","2,022","3,636","1,210","2,250","2,972","3,042","2,996","29,052","350","27,524","184","74","1","531","387","304","756","2023_GREATER GRAND CROSSING"
"2023","HEGEWISCH","213","309","462","560","592","1,099","504","550","700","1,155","623","898","286","671","611","890","909","8,895","4,768","1,226","10","59","0","2,015","818","3,236","4,331","2023_HEGEWISCH"
"2023","HERMOSA","549","1,273","974","1,270","1,148","2,900","1,411","1,738","2,605","1,995","1,238","2,498","1,370","1,601","2,157","1,895","1,794","23,200","8,318","1,087","107","702","11","8,182","4,793","2,866","18,578","2023_HERMOSA"
"2023","HUMBOLDT PARK","2,099","3,124","2,632","2,200","1,901","7,097","2,493","4,083","5,546","4,563","2,115","7,596","2,530","5,466","6,141","4,312","3,073","55,015","14,677","19,829","820","1,335","0","11,664","6,691","6,488","27,389","2023_HUMBOLDT PARK"
"2023","HYDE PARK","301","255","309","731","2,078","1,599","3,025","2,476","1,535","1,527","1,245","1,619","3,157","2,614","1,916","1,683","1,696","24,092","11,509","6,143","49","3,763","0","604","2,024","10,805","1,762","2023_HYDE PARK"
"2023","IRVING PARK","1,028","1,882","1,674","2,798","5,232","5,486","1,611","5,235","6,967","5,024","2,446","6,188","1,507","4,820","6,725","4,160","3,365","53,535","31,156","2,073","205","5,083","139","7,625","7,253","24,178","20,637","2023_IRVING PARK"
"2023","JEFFERSON PARK","521","751","814","1,744","2,965","2,525","940","1,972","3,183","2,898","1,593","2,964","775","2,174","2,846","2,534","2,586","26,991","17,913","695","66","3,399","44","2,070","2,805","15,345","6,786","2023_JEFFERSON PARK"
"2023","KENWOOD","564","296","116","646","1,254","1,502","480","1,052","1,167","1,308","1,034","1,548","450","1,156","1,542","1,566","1,564","14,368","2,958","9,791","18","697","4","124","775","2,804","383","2023_KENWOOD"
"2023","LAKE VIEW","627","661","860","1,969","10,739","5,822","5,510","16,503","9,710","5,596","3,406","5,587","6,195","15,126","8,311","4,827","4,058","90,652","71,631","3,913","146","6,386","88","2,415","6,073","67,784","8,979","2023_LAKE VIEW"
"2023","LINCOLN PARK","309","346","381","1,224","8,892","5,078","4,436","9,024","5,351","4,012","2,907","4,564","5,376","9,145","5,074","4,180","2,920","62,067","50,933","2,283","25","4,319","7","1,261","3,238","49,078","4,274","2023_LINCOLN PARK"
"2023","LINCOLN SQUARE","576","1,022","1,173","2,162","4,410","3,588","1,258","4,535","5,778","3,366","1,739","3,553","1,589","5,379","5,576","3,357","2,462","42,180","28,731","1,623","280","4,345","0","2,662","4,539","25,776","8,311","2023_LINCOLN SQUARE"
"2023","LOGAN SQUARE","1,259","1,521","1,329","2,708","7,008","5,469","2,746","11,445","9,136","3,989","2,501","6,219","3,131","11,399","8,192","4,007","3,121","71,354","45,894","4,355","481","3,344","78","5,260","11,942","36,570","24,808","2023_LOGAN SQUARE"
"2023","LOOP","138","540","305","1,122","4,777","1,145","2,179","7,741","3,986","2,394","1,583","1,223","3,843","6,816","2,979","2,173","2,221","38,284","22,509","3,120","367","8,849","0","1,016","2,424","20,573","4,297","2023_LOOP"
"2023","LOWER WEST SIDE","900","1,560","1,242","1,626","1,887","3,150","1,522","4,392","3,634","2,785","1,700","2,664","1,888","4,253","3,611","2,461","2,118","34,177","13,332","1,118","707","1,430","0","11,407","6,182","7,311","23,679","2023_LOWER WEST SIDE"
"2023","MCKINLEY PARK","320","781","699","779","1,039","1,435","762","1,301","1,596","1,828","740","1,567","661","1,141","1,474","1,819","1,077","15,400","5,199","339","256","4,282","0","3,700","1,625","2,204","8,474","2023_MCKINLEY PARK"
"2023","MONTCLARE","312","464","510","827","1,089","1,719","529","851","1,484","1,101","1,025","1,312","498","791","1,419","1,663","1,363","13,755","7,066","922","72","446","0","3,851","1,398","4,683","7,515","2023_MONTCLARE"
"2023","MORGAN PARK","759","761","571","1,180","1,767","2,608","667","1,139","1,985","1,909","1,646","2,528","386","1,212","2,337","2,124","2,748","21,288","6,807","12,770","53","211","0","335","1,112","6,485","981","2023_MORGAN PARK"
"2023","MOUNT GREENWOOD","158","289","270","917","2,785","2,355","1,042","933","1,931","2,268","1,018","2,521","631","894","2,079","1,811","1,622","19,107","17,017","344","16","202","0","356","1,172","16,041","1,834","2023_MOUNT GREENWOOD"
"2023","NEAR NORTH SIDE","847","1,032","517","1,375","12,236","3,377","4,374","15,437","7,622","7,120","6,401","2,917","5,592","16,019","7,509","7,289","7,978","91,635","64,903","6,434","492","12,354","8","1,855","5,590","62,702","6,664","2023_NEAR NORTH SIDE"
"2023","NEAR SOUTH SIDE","447","180","235","401","4,452","1,752","633","3,425","3,566","2,341","1,128","1,662","330","4,305","2,893","2,275","1,998","26,307","14,113","6,588","57","3,830","0","329","1,390","13,320","1,334","2023_NEAR SOUTH SIDE"
"2023","NEAR WEST SIDE","1,532","1,460","814","1,625","6,517","4,919","4,219","10,357","7,348","3,601","1,701","4,144","4,777","10,374","7,342","3,979","2,610","65,370","30,838","16,099","119","11,600","88","2,322","4,304","28,282","6,779","2023_NEAR WEST SIDE"
"2023","NEW CITY","2,266","2,142","1,432","1,622","1,440","5,713","2,336","2,272","4,591","3,231","2,477","5,182","2,083","3,095","4,415","2,873","2,576","40,843","12,557","8,446","524","991","29","13,273","5,024","4,036","27,311","2023_NEW CITY"
"2023","NORTH CENTER","355","271","378","1,019","6,575","4,873","673","3,400","5,310","2,578","1,093","4,495","707","3,913","4,913","2,253","1,574","35,782","28,092","906","17","2,264","22","1,063","3,418","26,136","4,516","2023_NORTH CENTER"
"2023","NORTH LAWNDALE","1,772","1,538","1,171","1,454","613","4,003","1,654","2,029","2,415","1,900","1,477","3,851","1,250","2,711","3,627","3,188","2,251","30,355","2,545","24,036","155","59","0","2,363","1,196","1,614","4,413","2023_NORTH LAWNDALE"
"2023","NORTH PARK","391","835","583","1,105","1,390","1,786","740","1,243","1,815","1,591","1,419","2,570","943","1,377","1,781","1,854","2,139","19,259","10,185","532","153","6,058","0","904","1,426","8,578","3,398","2023_NORTH PARK"
"2023","NORWOOD PARK","771","972","1,140","2,459","5,263","5,002","1,192","2,457","4,154","3,711","2,981","4,302","1,067","1,804","4,531","3,903","4,970","40,074","31,029","515","144","2,809","0","1,759","3,819","27,986","7,802","2023_NORWOOD PARK"
"2023","OAKLAND","361","228","144","125","182","772","104","185","236","236","142","565","211","351","591","564","414","4,373","159","3,946","59","51","0","14","143","155","131","2023_OAKLAND"
"2023","OHARE","321","650","1,052","1,083","1,155","1,304","601","2,010","1,852","1,799","1,060","1,565","581","1,576","1,516","1,249","1,167","16,281","10,624","1,079","55","2,237","0","1,110","1,176","9,418","3,013","2023_OHARE"
"2023","PORTAGE PARK","909","2,483","1,926","4,182","5,814","6,444","3,095","4,545","7,429","6,435","3,858","6,611","2,738","4,146","7,124","6,704","5,072","64,201","38,249","1,171","1,026","3,935","9","12,068","7,743","29,957","27,520","2023_PORTAGE PARK"
"2023","PULLMAN","287","308","346","478","226","391","221","516","704","503","329","843","211","474","807","999","855","6,851","1,123","5,293","0","5","0","244","186","848","559","2023_PULLMAN"
"2023","RIVERDALE","965","494","195","164","47","1,270","303","508","256","321","137","1,815","626","908","768","538","290","7,740","181","7,365","17","0","0","32","145","18","252","2023_RIVERDALE"
"2023","ROGERS PARK","1,038","1,986","1,477","2,460","2,802","4,392","2,431","4,440","6,095","5,495","2,837","4,879","4,537","5,128","5,772","4,080","3,081","53,169","25,129","13,602","459","2,750","0","5,278","5,951","23,158","10,599","2023_ROGERS PARK"
"2023","ROSELAND","1,535","2,186","1,379","2,244","1,160","4,122","1,642","2,695","2,863","3,657","2,471","3,871","1,535","2,622","3,139","4,872","4,172","37,660","668","35,905","56","85","0","209","738","529","700","2023_ROSELAND"
"2023","SOUTH CHICAGO","1,499","1,522","968","1,295","1,055","3,841","1,196","1,727","2,485","2,543","1,661","3,850","1,407","2,431","2,537","2,636","2,759","29,072","2,813","21,948","123","125","0","2,986","1,077","947","5,604","2023_SOUTH CHICAGO"
"2023","SOUTH DEERING","912","838","464","562","564","1,458","496","1,289","751","1,288","1,262","1,885","1,065","771","1,855","1,618","1,363","15,100","3,107","9,719","144","1","20","1,407","702","682","4,707","2023_SOUTH DEERING"
"2023","SOUTH LAWNDALE","2,608","4,557","2,307","2,417","1,622","7,620","5,006","8,260","8,288","5,155","5,044","7,244","3,896","4,037","5,721","4,979","4,303","69,554","22,010","8,371","1,044","606","32","23,420","14,070","3,741","56,992","2023_SOUTH LAWNDALE"
"2023","SOUTH SHORE","2,299","2,082","1,681","1,798","1,563","5,258","1,093","3,630","3,802","3,698","2,573","5,188","1,978","4,501","4,959","4,833","4,763","46,276","1,588","43,339","12","160","27","453","698","1,066","1,463","2023_SOUTH SHORE"
"2023","UPTOWN","1,379","1,189","971","1,500","4,119","3,019","1,977","7,815","7,131","5,255","2,224","3,343","2,325","6,650","5,389","4,240","3,306","52,674","30,635","10,848","238","5,033","17","2,275","3,626","27,437","7,558","2023_UPTOWN"
"2023","WASHINGTON HEIGHTS","918","905","1,179","1,804","1,609","2,449","1,417","1,534","1,841","2,476","1,588","2,903","1,366","1,474","2,882","2,861","3,520","26,310","488","25,401","87","24","0","94","216","386","248","2023_WASHINGTON HEIGHTS"
"2023","WASHINGTON PARK","1,142","717","274","317","267","2,178","497","673","1,005","749","465","1,647","793","1,189","1,602","1,001","564","12,362","242","11,691","10","0","0","138","281","230","171","2023_WASHINGTON PARK"
"2023","WEST ELSDON","267","921","788","979","1,030","2,228","769","1,355","1,998","1,381","1,351","2,464","933","1,286","1,632","1,670","1,134","18,201","7,800","128","749","688","0","5,056","3,780","2,606","14,781","2023_WEST ELSDON"
"2023","WEST ENGLEWOOD","1,547","1,804","785","932","570","3,013","1,250","1,888","1,987","2,377","2,005","2,749","1,327","1,839","2,055","2,493","2,988","25,971","1,353","20,537","279","83","65","2,435","1,220","262","4,674","2023_WEST ENGLEWOOD"
"2023","WEST GARFIELD PARK","1,048","975","655","432","346","2,343","828","1,223","1,424","1,713","853","1,548","871","1,263","1,247","1,684","1,347","16,345","501","15,047","1","12","0","641","144","347","878","2023_WEST GARFIELD PARK"
"2023","WEST LAWN","766","1,224","1,296","1,909","1,777","4,673","1,865","2,004","3,594","2,563","1,453","4,162","1,665","2,247","3,283","2,507","2,435","32,451","13,717","929","585","255","171","10,645","6,149","3,980","27,275","2023_WEST LAWN"
"2023","WEST PULLMAN","1,380","1,196","850","1,273","1,158","3,160","1,306","1,515","1,883","2,296","1,462","2,657","1,255","1,558","2,957","2,373","2,739","25,159","908","22,426","0","0","0","790","1,035","289","1,856","2023_WEST PULLMAN"
"2023","WEST RIDGE","2,088","3,577","3,031","4,005","5,327","10,747","3,219","5,519","8,146","7,729","4,907","10,789","2,568","4,807","7,905","6,939","5,945","79,220","36,943","9,310","681","16,696","17","6,958","8,615","31,486","17,531","2023_WEST RIDGE"
"2023","WEST TOWN","1,051","1,114","1,197","2,506","10,663","5,722","2,592","16,967","11,131","4,750","2,570","5,586","3,211","16,764","9,695","4,375","3,089","86,453","61,759","6,039","147","5,138","21","4,650","8,700","54,505","17,099","2023_WEST TOWN"
"2023","WOODLAWN","1,039","1,223","622","917","807","2,564","1,958","1,809","1,861","2,246","1,019","2,410","1,801","1,958","2,533","2,372","1,905","24,437","2,807","18,965","50","867","0","863","886","2,438","783","2023_WOODLAWN"
